ntrees,lr,folds,block,image
1,0.005,F1,0.5377073906485671,0.6367777282283239
1,0.005,F2,0.3746987306518129,0.6384168545170799
1,0.005,F3,0.5266099261689909,0.16427075055984974
1,0.005,F4,0.3629434007562571,0.32689973995954924
1,0.005,F5,0.4537738870502829,0.10001100231048521
1,0.005,F6,0.42945131653236157,0.16881601970060267
1,0.005,F7,0.42903889797857175,0.37393004562242016
1,0.005,F8,0.30957291614266313,0.6062235649546828
1,0.005,A,0.4279745582411884,0.3769182132316242
1,0.005,T,0.42000230707117314,0.36677195555304865
1,0.01,F1,0.5377073906485671,0.6367777282283239
1,0.01,F2,0.3746987306518129,0.6384168545170799
1,0.01,F3,0.5266099261689909,0.16427075055984974
1,0.01,F4,0.3629434007562571,0.32689973995954924
1,0.01,F5,0.4537738870502829,0.10001100231048521
1,0.01,F6,0.42945131653236157,0.16881601970060267
1,0.01,F7,0.42903889797857175,0.37393004562242016
1,0.01,F8,0.30957291614266313,0.6062235649546828
1,0.01,A,0.4279745582411884,0.3769182132316242
1,0.01,T,0.42000230707117314,0.36677195555304865
1,0.025,F1,0.5377073906485671,0.6367777282283239
1,0.025,F2,0.3746987306518129,0.6384168545170799
1,0.025,F3,0.5266099261689909,0.16427075055984974
1,0.025,F4,0.3629434007562571,0.32689973995954924
1,0.025,F5,0.4537738870502829,0.10001100231048521
1,0.025,F6,0.42945131653236157,0.16881601970060267
1,0.025,F7,0.42903889797857175,0.37393004562242016
1,0.025,F8,0.30957291614266313,0.6062235649546828
1,0.025,A,0.4279745582411884,0.3769182132316242
1,0.025,T,0.42000230707117314,0.36677195555304865
1,0.05,F1,0.5377073906485671,0.6367777282283239
1,0.05,F2,0.3746987306518129,0.6384168545170799
1,0.05,F3,0.5266099261689909,0.16427075055984974
1,0.05,F4,0.3629434007562571,0.32689973995954924
1,0.05,F5,0.4537738870502829,0.10001100231048521
1,0.05,F6,0.42945131653236157,0.16881601970060267
1,0.05,F7,0.42903889797857175,0.37393004562242016
1,0.05,F8,0.30957291614266313,0.6062235649546828
1,0.05,A,0.4279745582411884,0.3769182132316242
1,0.05,T,0.42000230707117314,0.36677195555304865
1,0.075,F1,0.5377073906485671,0.6367777282283239
1,0.075,F2,0.3746987306518129,0.6384168545170799
1,0.075,F3,0.5266099261689909,0.16427075055984974
1,0.075,F4,0.3629434007562571,0.32689973995954924
1,0.075,F5,0.4537738870502829,0.10001100231048521
1,0.075,F6,0.42945131653236157,0.16881601970060267
1,0.075,F7,0.42903889797857175,0.37393004562242016
1,0.075,F8,0.30957291614266313,0.6062235649546828
1,0.075,A,0.4279745582411884,0.3769182132316242
1,0.075,T,0.42000230707117314,0.36677195555304865
1,0.1,F1,0.5377073906485671,0.6367777282283239
1,0.1,F2,0.3746987306518129,0.6384168545170799
1,0.1,F3,0.5266099261689909,0.16427075055984974
1,0.1,F4,0.3629434007562571,0.32689973995954924
1,0.1,F5,0.4537738870502829,0.10001100231048521
1,0.1,F6,0.42945131653236157,0.16881601970060267
1,0.1,F7,0.42903889797857175,0.37393004562242016
1,0.1,F8,0.30957291614266313,0.6062235649546828
1,0.1,A,0.4279745582411884,0.3769182132316242
1,0.1,T,0.42000230707117314,0.36677195555304865
1,0.25,F1,0.5377073906485671,0.6367777282283239
1,0.25,F2,0.3746987306518129,0.6384168545170799
1,0.25,F3,0.5266099261689909,0.03232680777288155
1,0.25,F4,0.3629434007562571,0.32689973995954924
1,0.25,F5,0.4537738870502829,0.02442512927714824
1,0.25,F6,0.42945131653236157,0.3945952951850171
1,0.25,F7,0.42903889797857175,0.37393004562242016
1,0.25,F8,0.30957291614266313,0.6062235649546828
1,0.25,A,0.4279745582411884,0.37919939568963784
1,0.25,T,0.42000230707117314,0.36677195555304865
1,0.5,F1,0.5377073906485671,0.1399949034847423
1,0.5,F2,0.3746987306518129,0.011487775273105627
1,0.5,F3,0.3321369975389664,0.03232680777288155
1,0.5,F4,0.3365944421103175,0.010574978329962459
1,0.5,F5,0.32304900181488205,0.02442512927714824
1,0.5,F6,0.42945131653236157,0.3945952951850171
1,0.5,F7,0.42903889797857175,0.08138170758201169
1,0.5,F8,0.30730922078575384,0.13927492447129908
1,0.5,A,0.38374824975765415,0.10425769017202101
1,0.5,T,0.27511823739762375,0.1670144960234644
1,0.75,F1,0.45028425571412,0.1399949034847423
1,0.75,F2,0.33886776284076914,0.011487775273105627
1,0.75,F3,0.3321369975389664,0.03232680777288155
1,0.75,F4,0.3365944421103175,0.010574978329962459
1,0.75,F5,0.32304900181488205,0.02442512927714824
1,0.75,F6,0.2103372170610276,0.3945952951850171
1,0.75,F7,0.29988916451153214,0.08138170758201169
1,0.75,F8,0.30730922078575384,0.13927492447129908
1,0.75,A,0.3248085077971711,0.10425769017202101
1,0.75,T,0.27511823739762375,0.1670144960234644
10,0.005,F1,0.5377073906485671,0.6367777282283239
10,0.005,F2,0.3746987306518129,0.6384168545170799
10,0.005,F3,0.5266099261689909,0.16427075055984974
10,0.005,F4,0.3629434007562571,0.32689973995954924
10,0.005,F5,0.4537738870502829,0.10001100231048521
10,0.005,F6,0.42945131653236157,0.16881601970060267
10,0.005,F7,0.42903889797857175,0.37393004562242016
10,0.005,F8,0.30957291614266313,0.6062235649546828
10,0.005,A,0.4279745582411884,0.3769182132316242
10,0.005,T,0.42000230707117314,0.36677195555304865
10,0.01,F1,0.5377073906485671,0.6367777282283239
10,0.01,F2,0.3746987306518129,0.6384168545170799
10,0.01,F3,0.5266099261689909,0.16427075055984974
10,0.01,F4,0.3629434007562571,0.32689973995954924
10,0.01,F5,0.4537738870502829,0.10001100231048521
10,0.01,F6,0.42945131653236157,0.16881601970060267
10,0.01,F7,0.42903889797857175,0.37393004562242016
10,0.01,F8,0.30957291614266313,0.6062235649546828
10,0.01,A,0.4279745582411884,0.3769182132316242
10,0.01,T,0.42000230707117314,0.36677195555304865
10,0.025,F1,0.5377073906485671,0.6367777282283239
10,0.025,F2,0.3746987306518129,0.6384168545170799
10,0.025,F3,0.5266099261689909,0.030376363505020598
10,0.025,F4,0.3629434007562571,0.32689973995954924
10,0.025,F5,0.4537738870502829,0.0206293321597536
10,0.025,F6,0.42945131653236157,0.3800142570150995
10,0.025,F7,0.42903889797857175,0.37393004562242016
10,0.025,F8,0.30957291614266313,0.6062235649546828
10,0.025,A,0.4279745582411884,0.3766584857452412
10,0.025,T,0.42000230707117314,0.36677195555304865
10,0.05,F1,0.5377073906485671,0.13238198381856403
10,0.05,F2,0.3746987306518129,0.024492803884168524
10,0.05,F3,0.5266099261689909,0.02853427725204072
10,0.05,F4,0.2889382390012605,0.012770875469517495
10,0.05,F5,0.3430660830575424,0.02084937836945755
10,0.05,F6,0.42945131653236157,0.3800142570150995
10,0.05,F7,0.42903889797857175,0.086682598305453
10,0.05,F8,0.25836309673524827,0.17208459214501515
10,0.05,A,0.3984842100967944,0.1072263457824145
10,0.05,T,0.28123197600645977,0.15051610355914036
10,0.075,F1,0.4689639169277179,0.13483468178632863
10,0.075,F2,0.31765840072840235,0.025836656840645067
10,0.075,F3,0.33931501230516814,0.027161742396879296
10,0.075,F4,0.2862373206890343,0.012770875469517495
10,0.075,F5,0.33303085299455537,0.023159863571350026
10,0.075,F6,0.23399887081045012,0.3800142570150995
10,0.075,F7,0.2804137858236132,0.08963719313491203
10,0.075,F8,0.25801096634639564,0.167190332326284
10,0.075,A,0.31470364082816715,0.107575700317627
10,0.075,T,0.27901142000230705,0.14842912741835412
10,0.1,F1,0.46391692771783266,0.12935592788430905
10,0.1,F2,0.31765840072840235,0.019117392058262572
10,0.1,F3,0.33726415094339623,0.027486816441522843
10,0.1,F4,0.2795750555188764,0.014504478474429372
